cell_type,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
NK,KLRC1,15.467113,6.0587115,5.784429665233061e-54,1.5547185897872295e-50,0.46745562130177515,0.0781199768533402
NK,TYROBP,15.185331,6.3195915,4.42323633410961e-52,1.122813969878535e-48,0.5463510848126233,0.12801388799588503
NK,TXK,15.067593,5.983903,2.6457769299194657e-51,6.362675762204222e-48,0.4536489151873767,0.07124027518806661
NK,CD247,14.942652,4.426925,1.739144929878116e-50,3.9732505067995438e-47,0.6863905325443787,0.4124606185301871
NK,CST7,14.747893,4.615252,3.174207276168246e-49,6.906470422032357e-46,0.8264299802761341,0.5481900597955378
NK,KLRK1,14.717206,5.1671987,4.998878073901623e-49,1.0382215316032408e-45,0.8382642998027613,0.4839580788272359
NK,IFITM2,14.479817,2.52915,1.625282268267572e-47,3.228799887029648e-44,0.9526627218934911,0.8703787050729763
NK,HOPX,14.163909,5.367566,1.532285152139354e-45,2.8005269268620548e-42,0.5009861932938856,0.1569472127563814
NK,FGFBP2,14.021597,7.2473397,1.1499724107969593e-44,2.0209438228513334e-41,0.39644970414201186,0.03594161898026104
NK,PIP4K2A,14.007873,2.3846757,1.3952307232631164e-44,2.3611437854569747e-41,0.8856015779092702,0.7812640648106475
NK,S1PR5,13.845819,6.3785386,1.3483368942487905e-43,2.1244210128281287e-40,0.3905325443786982,0.03253391628624703
NK,GPR56,13.805968,4.3765044,2.3459793775781587e-43,3.5730829906767076e-40,0.5305719921104537,0.1862020189031055
NK,B3GNT7,13.36415,5.7969584,9.794734155538539e-41,1.3985656032339592e-37,0.388560157790927,0.052722947341348934
NK,KIR2DL3,12.709647,5.918033,5.226942524116907e-37,6.634151605887492e-34,0.3510848126232742,0.020574808718575196
NK,KIR2DS4,12.568723,7.0040536,3.13750588359607e-36,3.772603127191359e-33,0.33925049309664695,0.013116440558091686
NK,KLRB1,12.3220625,4.86437,6.890914367700071e-35,7.87149148222379e-32,0.4358974358974359,0.1314858869671446
